#Year,Matches,Wins,Draws,Losses,Athlete of the year,Scoring leader,No. of goals by leader,Assist leader,No. of assists by leader,Coach,Major tournament result
1985, 4, 0, 1, 3,Sharon Remer,Michelle Akers, 2,,, Mike Ryan, 
1986, 6, 4, 0, 2,April Heinrichs,Marcia McDermott, 4,,, Anson Dorrance, 
1987, 11, 6, 1, 4,Carin Gabarra,April Heinrichs, 7,,,  Anson Dorrance, 
1988, 8, 3, 2, 3,Joy Fawcett,Carin Gabarra, 5, C. Gabarra + K. Lilly, 2, Anson Dorrance, 
1989, 1, 0, 1, 0,April Heinrichs,(none),, (none),, Anson Dorrance, 
1990, 6, 6, 0, 0,Michelle Akers,Michelle Akers, 9, Kristine Lilly, 3, Anson Dorrance, 
1991, 28, 21, 1, 6,Michelle Akers,Michelle Akers, 39, Carin Gabarra, 21, Anson Dorrance, World Cup (Champions)
1992, 2, 0, 0, 2,Carin Gabarra,(3 players tied), 1, Tisha Venturini, 2, Anson Dorrance,
1993, 17, 13, 0, 4,Kristine Lilly,Mia Hamm, 10, Michelle Akers, 6, Anson Dorrance, 
1994, 13, 12, 0, 1,Mia Hamm,Michelle Akers, 11, Michelle Akers, 7, Anson Dorrance, 
1995, 25, 21, 2, 2,Mia Hamm,Mia Hamm, 19, Mia Hamm, 18, Tony DiCicco, World Cup (3rd place)
1996, 24, 21, 2, 1,Mia Hamm,Tiffeny Milbrett, 13, Mia Hamm, 18, Tony DiCicco, Olympics (Gold medal)
1997, 18, 16, 0, 2,Mia Hamm,Mia Hamm, 18, Tiffeny Milbrett, 14, Tony DiCicco, 
1998, 25, 22, 2, 1,Mia Hamm,Mia Hamm, 20, Mia Hamm, 20, Tony DiCicco, 
1999, 29, 25, 2, 2,Michelle Akers,Tiffeny Milbrett, 21, Mia Hamm, 16, Tony DiCicco, World Cup (Champions)
2000, 41, 26, 9, 6,Tiffeny Milbrett,Cindy Parlow, 19, Mia Hamm, 14, L. Gregg + A. Heinrichs, Olympics (Silver medal)
2001, 10, 3, 2, 5,Tiffeny Milbrett,Tiffeny Milbrett, 3, Mia Hamm, 2, April Heinrichs, 
2002, 19, 15, 2, 2,Shannon MacMillan,Shannon MacMillan, 17, Aly Wagner, 11, April Heinrichs, 
2003, 23, 17, 4, 2,Abby Wambach,Abby Wambach, 9, Mia Hamm, 9, April Heinrichs, World Cup (3rd place)
2004, 34, 28, 4, 2,Abby Wambach,Abby Wambach, 31, Mia Hamm, 22, April Heinrichs, Olympics (Gold medal)
2005, 9, 8, 1, 0,Kristine Lilly,Christie Welsh, 7, A. Wagner + A. Wambach, 5, Greg Ryan 
2006, 22, 18, 4, 0,Kristine Lilly,Abby Wambach, 17, Abby Wambach, 8, Greg Ryan, 
2007, 24, 19, 4, 1,Abby Wambach,Abby Wambach, 20, Kristine Lilly, 8, Greg Ryan, World Cup (3rd place)
2008, 36, 33, 2, 1,Carli Lloyd,Natasha Kai, 15, H. O'Reilly + A. Wambach, 10, Pia Sundhage, Olympics (Gold medal)
2009, 8, 7, 1, 0,Hope Solo,(3 players tied), 2, Heather O'Reilly, 3, Pia Sundhage, 
2010, 18, 15, 2, 1,Abby Wambach,Abby Wambach, 16, Lori Lindsey, 7, Pia Sundhage, 
2011, 20, 13, 4, 3,Abby Wambach,Abby Wambach, 8, L. Holiday + M. Rapinoe, 5, Pia Sundhage, World Cup (2nd place)
2012, 32, 28, 3, 1,Alex Morgan,Alex Morgan, 28, Alex Morgan, 21, P. Sundhage + J. Ellis, Olympics (Gold medal)
2013, 16, 13, 3, 0,Abby Wambach,Abby Wambach, 11, L. Holiday + A. Wambach, 6, Tom Sermanni, 
2014, 24, 16, 5, 3,Lauren Holiday,Carli Lloyd, 15, Carli Lloyd, 8, T. Sermanni + J. Ellis, 
2015, 26, 20, 4, 2,Carli Lloyd,Carli Lloyd, 18, Megan Rapinoe, 10, Jill Ellis, World Cup (Champions)
2016, 25, 22, 0, 3,Tobin Heath,C. Lloyd + A. Morgan, 17, Carli Lloyd, 11, Jill Ellis, Olympics (Quarter-finals)
2017, 16, 12, 1, 3,Julie Ertz,Alex Morgan, 7, Megan Rapinoe, 5, Jill Ellis, 
2018, 20, 18, 2, 0,Alex Morgan,Alex Morgan, 18, Megan Rapinoe, 12, Jill Ellis,  
